Title,Year,Director,Genres,Trailer,Rotten Tomatoes
Parasite,2019,Bong Joon-ho,"Drama, Thriller",https://www.youtube.com/watch?v=5xH0HfJHsaY,https://www.rottentomatoes.com/m/parasite_2019
Pat Garrett and Billy the Kid,1973,Sam Peckinpah,"Biography, Drama, Western",https://www.youtube.com/watch?v=a-e47wAkg9g,https://www.rottentomatoes.com/m/pat_garrett_and_billy_the_kid
Porcelain War,2023,"Brendan Bellomo, Slava Leontyev",Documentary,https://www.youtube.com/watch?v=JPxIHYUXeEk,https://www.rottentomatoes.com/m/porcelain_war
Quiz Show,1994,Robert Redford,"Biography, Drama, History",https://www.youtube.com/watch?v=bj-m3Ddmn0E,https://www.rottentomatoes.com/m/quiz_show
Red Rooms,2024,Pascal Plante,Thriller,https://www.youtube.com/watch?v=hYb9CESlrKc,https://www.rottentomatoes.com/m/red_rooms
Rio Bravo,1959,Howard Hawks,"Action, Drama, Western",https://www.youtube.com/watch?v=WPO12ZzGS84,https://www.rottentomatoes.com/m/rio_bravo
Scratch,2001,Doug Pray,"Documentary, Music",https://www.youtube.com/watch?v=G_u7s8NDz9o,https://www.rottentomatoes.com/m/scratch_2002
Senna,2010,Asif Kapadia,"Documentary, Biography, Sport",https://www.youtube.com/watch?v=_jMIULxyT4w,https://www.rottentomatoes.com/m/senna
Shrek,2001,"Andrew Adamson, Vicky Jenson","Animation, Adventure, Comedy, Family, Fantasy, Romance",https://www.youtube.com/watch?v=W37DlG1i61s,https://www.rottentomatoes.com/m/shrek
Some Kind of Heaven,2020,Lance Oppenheim,Documentary,https://www.youtube.com/watch?v=BHVTQjSGjHU,https://www.rottentomatoes.com/m/some_kind_of_heaven
Spirited Away,2001,Hayao Miyazaki,"Animation, Fantasy, Adventure",https://www.youtube.com/watch?v=ByXuk9QqQkk,https://www.rottentomatoes.com/m/spirited_away
Starlet,2012,Sean Baker,Drama,https://www.youtube.com/watch?v=MUSNZGYIfD4,https://www.rottentomatoes.com/m/starlet_2012
Style Wars,1983,Tony Silver,"Documentary, Music",https://www.youtube.com/watch?v=sR9qdaMKl6c,https://www.rottentomatoes.com/m/style_wars
The Act of Killing,2012,Joshua Oppenheimer,"Documentary, Biography, History",https://www.youtube.com/watch?v=6GiqYLrJBG0,https://www.rottentomatoes.com/m/the_act_of_killing
The Birds,1963,Alfred Hitchcock,"Drama, Horror, Mystery",https://www.youtube.com/watch?v=0fJh2gIBOto,https://www.rottentomatoes.com/m/1002448_birds
The Dark Knight,2008,Christopher Nolan,"Action, Crime, Drama",https://www.youtube.com/watch?v=EXeTwQWrcwY,https://www.rottentomatoes.com/m/the_dark_knight
The Duelists,1977,Ridley Scott,"Drama, War",https://www.youtube.com/watch?v=-yjl7u0Afqg,https://www.rottentomatoes.com/m/duellists
The In-Laws,1979,Arthur Hiller,"Action, Adventure, Comedy",https://www.youtube.com/watch?v=7aILHK6iHKg,https://www.rottentomatoes.com/m/the_in_laws_1979
The Killer,2023,David Fincher,"Action, Thriller",https://www.youtube.com/watch?v=vs1epO_zLG8,https://www.rottentomatoes.com/m/the_killer_2023
The Killing,1956,Stanley Kubrick,"Crime, Drama, Film-Noir, Thriller",https://www.youtube.com/watch?v=c0Odg-GY40w,https://www.rottentomatoes.com/m/killing
The Killing of a Chinese Bookie,1976,John Cassavetes,"Crime, Drama, Thriller",https://www.youtube.com/watch?v=1UTPS2iwAX4,https://www.rottentomatoes.com/m/killing_of_a_chinese_bookie
The King of Comedy,1982,Martin Scorcese,"Comedy, Drama",https://www.youtube.com/watch?v=0wVhCCo02P4,https://www.rottentomatoes.com/m/1011623-king_of_comedy
The Last of Sheila,1973,Herbert Ross,"Crime, Drama, Mystery",https://www.youtube.com/watch?v=NPHMoDpCHU8,https://www.rottentomatoes.com/m/the_last_of_sheila
The Nice Guys,2016,Shane Black,"Action, Comedy, Crime",https://www.youtube.com/watch?v=GQR5zsLHbYw,https://www.rottentomatoes.com/m/the_nice_guys
The Red Turtle,2016,Michaël Dudok de Wit,"Animation, Fantasy, Drama",https://www.youtube.com/watch?v=Sw7BggqBpTk,https://www.rottentomatoes.com/m/the_red_turtle
The Remarkable Life of Ibelin,2024,Benjamin Ree,Documentary,https://www.youtube.com/watch?v=lM_hkJ0Rl-c,https://www.rottentomatoes.com/m/the_remarkable_life_of_ibelin
The Salt of the Earth,2014,"Wim Wenders, Juliano Ribeiro Salgado","Documentary, Biography, History",https://www.youtube.com/watch?v=OivMlWXtWpY,https://www.rottentomatoes.com/m/the_salt_of_the_earth_2015
The Town,2010,Ben Affleck,"Crime, Drama, Thriller",https://www.youtube.com/watch?v=QQ7wcayQQLQ,https://www.rottentomatoes.com/m/the_town
This is England,2006,Shane Meadows,"Crime, Drama",https://www.youtube.com/watch?v=H0jkv2bRFgQ,https://www.rottentomatoes.com/m/this_is_england
Three Colors: Blue,1993,Krzysztof Kieślowski,"Drama, Music, Mystery",https://www.youtube.com/watch?v=Hxu6my_t4pM,https://www.rottentomatoes.com/m/three_colors_blue
Training Day,2001,Antoine Fuqua,"Crime, Darma, Thriller",https://www.youtube.com/watch?v=DXPJqRtkDP0,https://www.rottentomatoes.com/m/training_day
Triangle of Sadness,2022,Ruben Östlund,"Comedy, Drama",https://www.youtube.com/watch?v=VDvfFIZQIuQ,https://www.rottentomatoes.com/m/triangle_of_sadness
Uncut Gems,2019,"Josh Safdie, Benny Safdie","Crime, Drama, Thriller",https://www.youtube.com/watch?v=vTfJp2Ts9X8,https://www.rottentomatoes.com/m/uncut_gems
Unstoppable,2010,Tony Scott,"Action, Thriller",https://www.youtube.com/watch?v=fyuoIqeL-bc,https://www.rottentomatoes.com/m/unstoppable-2010
Usual Suspects,1995,Bryan Singer,"Crime, Drama, Mystery, Thriller",https://www.youtube.com/watch?v=oiXdPolca5w,https://www.rottentomatoes.com/m/usual_suspects
Walk Hard: The Dewey Cox Story,2007,Jake Kasdan,"Comedy, Drama, Music",https://www.youtube.com/watch?v=4W3zQkGpzC0,https://www.rottentomatoes.com/m/walk_hard
Working Girls,1986,Lizzie Borden,Drama,https://www.youtube.com/watch?v=OKDIcqv3Kdk,https://www.rottentomatoes.com/m/working_girls_1987
